id,user_id,username,invited_by,referrals,group_link_sent
1,6724762793,pcuzu,5833169967,0,1
2,124158912,Sitsiron,5833169967,0,0
3,8232766869,,6368263461,0,1
4,5833169967,Cyber_security07,,198,1
5,1765655096,Abdusattorov_Fatxulla,5833169967,0,0
6,5745296238,MaqsadovDiyorbek,5833169967,0,0
7,5976009680,Innova_physicss,5833169967,0,0
8,5875863297,erkinvns_z,5833169967,14,1
9,7819002221,I_Umidjon_2008,5833169967,10,0
10,719489006,DONIYORBEKHUMOYUN91,5833169967,0,0
11,5716317741,,5875863297,0,0
12,7945050717,,5875863297,0,1
13,5080652371,Nodirova_Amina,5875863297,0,1
14,1761484762,,5833169967,0,0
15,6567125352,,5833169967,0,1
16,983424708,Nilufar101094,5833169967,0,0
17,1248782869,,5833169967,0,0
18,1525972930,,5875863297,0,1
19,5848705022,tadjik10_99,5833169967,0,0
20,7900041291,abdullajonova_fizik,5875863297,0,1
21,6040152722,Par1wka_27,5875863297,0,1
22,7301914467,PGulbakxor,5833169967,14,1
23,1276476345,,5833169967,0,0
24,5930153964,durdon_007,5875863297,0,0
25,5807911837,,7301914467,0,0
26,968063322,,5833169967,2,0
27,1192794193,shahodat_87,5833169967,0,0
28,6705699101,,5833169967,0,0
29,595290440,,5833169967,0,0
30,5648402187,Ayajonim1957,7301914467,0,0
31,1337567877,,5833169967,0,0
32,7880244962,asmira0425,5833169967,0,0
33,5982145870,,5833169967,0,0
34,6031547339,,7301914467,0,1
35,6705957537,Aliyeva_111089,5833169967,0,1
36,607773274,,5833169967,0,0
37,1269230996,,7301914467,0,0
38,5424279075,,5833169967,0,1
39,8173265620,,5833169967,14,1
40,8100437600,Al1_2025,8173265620,0,1
41,6990161704,,,0,0
42,5254315599,,5833169967,0,0
43,1185349828,EzozaBayozova,5833169967,0,0
44,7712505056,,8173265620,14,1
45,1292243987,narzullayev18,5833169967,8,0
46,7347522648,,8173265620,0,1
47,7504478429,,5833169967,10,0
48,5738569706,,5833169967,18,1
49,7654892861,Titul_07,7504478429,0,1
50,7583470024,,7504478429,0,1
51,601111581,,5738569706,0,0
52,7581772068,,5738569706,0,1
53,5703492563,,5833169967,0,0
54,8011314570,Moonlitesoul_08,7712505056,0,1
55,1072032199,,5738569706,0,0
56,1933817436,,968063322,0,1
57,7285518413,,8173265620,0,1
58,411382425,,5738569706,0,0
59,5133860388,Mirzaaliyeva_Maftuna,5833169967,6,0
60,6087398032,Odilova_27,5738569706,0,1
61,731686559,mm11_3,5738569706,0,1
62,6489034145,,5738569706,0,1
63,397337403,,7712505056,0,1
64,7048131563,SolixaYuldashova,1292243987,0,1
65,752382974,nilufar1989_04,7301914467,0,1
66,1201796969,X_Sohibovna,5133860388,0,0
67,704041048,,5833169967,10,0
68,6489420691,nargiza_mirzayeva_2199,5133860388,2,1
69,965130260,,5738569706,0,1
70,7130604029,dr_dilshodvicc_0218,5738569706,0,1
71,6944696026,manzuraoy,6489420691,0,1
72,2121624657,Mansur_Sadullayev,5833169967,14,1
73,5901220449,Artikovaxosiyat81,7504478429,0,1
74,1041188394,Bekpolat_Tursinbaev,5833169967,26,1
75,8121110212,,1041188394,0,1
76,7376059068,,2121624657,0,1
77,7423172381,Nigina_Ruziyeva,,0,0
78,1217441962,,5833169967,0,0
79,7469773607,,1041188394,0,1
80,1746999185,Orekenazyagay,1041188394,0,1
81,8352494958,plloff1w,7712505056,0,1
82,6702451352,l1sa_1407,7504478429,0,1
83,6508491846,,1930220471,0,1
84,1048538064,,2121624657,0,1
85,6453478710,Durdona_Saydullayeva,6368263461,0,0
86,8133690839,,704041048,0,0
87,1178712337,Lobar020476,5833169967,0,0
88,7061238703,,5833169967,12,1
89,1273835867,,5833169967,0,0
90,5644313353,,7301914467,0,1
91,7881791365,Moviydengz_007,7712505056,0,0
92,5641929904,,7712505056,0,1
93,5053542903,,7061238703,0,1
94,8177174295,Nigora_1308,7712505056,0,0
95,767563452,JurayevaFarogat,5833169967,0,0
96,592495372,tashmuhammadiy,1292243987,0,0
97,1242151758,saida_yodgorova,5833169967,0,1
98,6305220498,,6087398032,0,0
99,8135679308,,5833169967,0,1
100,1968457421,,5833169967,0,0
101,6368263461,,6368263461,2,0
102,5082514083,xujamovaozoda,5833169967,0,0
103,6446459484,,704041048,0,1
104,6376057829,musayeva_2009,704041048,0,1
105,6737177370,,5833169967,0,0
106,5695185668,Muhayyo_decor_flowers_handmade,1292243987,0,1
107,7824416337,,704041048,0,0
108,7428111267,Najmitd,1041188394,0,1
109,6903032540,,5833169967,0,0
110,8096678504,MateFizik_23_1,8173265620,0,1
111,7043988935,,,0,1
112,5791694588,fal_con0,1292243987,0,1
113,7090236557,oxunovamalika,7712505056,0,1
114,332673292,nurberdi_naurizov,1041188394,0,0
115,6866842974,Jasur1985,7301914467,0,1
116,678202108,,8173265620,0,1
117,8099984236,meliyeva_007,704041048,0,1
118,7710118461,flourish_2609,7712505056,0,1
119,1713068730,GAYRATBEKNNN,1041188394,0,1
120,7750974760,,7301914467,0,1
121,455237324,Zilola0216,8173265620,0,0
122,6998302466,,1292243987,0,1
123,1981053174,Islambek_Sarsenbaev,1041188394,0,1
124,8481497192,,8173265620,0,1
125,6348255335,muslimakarimova777,1041188394,0,1
126,719518923,,5833169967,0,0
127,2078407940,JuldizJoldasbaeva,1041188394,0,1
128,6244083514,,5833169967,0,0
129,1239839424,Saitqulovna1987,5833169967,0,0
130,7765831548,Sevara_3834,5833169967,0,1
131,1855504534,,5833169967,0,1
132,1096274121,Turaev_Umidjon,5833169967,14,1
133,5686323109,dilshodbeks_2nd,1930220471,0,1
134,5348896415,,5833169967,14,1
135,7501248155,,1096274121,0,1
136,373753795,Toshboyev_Javohir,1096274121,0,1
137,7679248958,,1096274121,0,1
138,5465692588,akmalrasulov94,5833169967,0,1
139,7012058198,Fayzullo_21,1096274121,0,1
140,779691465,,5348896415,0,1
141,1732214513,,5833169967,0,1
142,1046788803,,5833169967,0,1
143,6031877946,Shaxnoza_8695,6368263461,0,1
144,6441906986,,7061238703,0,1
145,836484117,nazarovfaxriddin,5833169967,0,1
146,7712341862,Dilfuzaxon_Nab1yeva,5833169967,0,0
147,1817716993,Fiz_bu_20,5348896415,0,1
148,7467603033,,1041188394,0,0
149,7582414336,FayzuIlayevvv,5833169967,8,0
150,7075500629,shermuhammedov_001,7582414336,0,1
151,5832624170,,704041048,0,0
152,6514396840,chill_guy_0801,7582414336,0,1
153,1265081012,Gulchexra5107,7819002221,4,1
154,6468949155,kambaraliyevv,,0,0
155,1894302259,diyora2302,6368263461,0,0
157,6552162035,,1265081012,0,1
158,5731225347,,1265081012,0,1
159,698608740,nargiz_3349,5738569706,0,0
160,6266523707,UsmonovaMaftuna1992,5833169967,0,1
161,5930403852,Yakor_uz,2121624657,0,1
162,5793257188,scorpion_1711,1041188394,0,1
163,7485359596,,704041048,0,0
164,2049423067,,704041048,0,0
165,7800145454,Abdulazizovna_1955,5348896415,0,1
166,7414706929,behzodbekturgunpolatov,5348896415,0,1
167,1225590046,,1041188394,0,1
168,8288443970,,5738569706,0,1
169,2107997964,,7061238703,0,1
170,6948951615,Surdopedagog04_D,1096274121,0,1
171,7502120109,,5348896415,0,1
172,131475134,,5833169967,0,0
173,6019094486,XALILOV_718,5833169967,0,0
174,7512697328,Yasira_7,5348896415,0,1
175,5918602329,,5348896415,0,1
176,7526054329,r3vo07,7582414336,0,0
177,6178792035,,5833169967,0,1
178,7622488553,,5833169967,0,1
179,5774840368,muhammadaziz_n,7582414336,0,1
180,6669409987,,1096274121,0,1
181,1880830552,Shohida95_00,5738569706,0,1
182,699983377,Jaynarova_Nargiza,5833169967,20,1
183,5549268106,Jurakulov_03,5833169967,0,0
184,5806856663,marjonim9501,5133860388,0,1
185,2136362052,Njanabaeva,1041188394,0,1
186,8006896610,,704041048,0,1
187,7807761813,,2121624657,0,1
188,1437263573,Mardonova1013,5833169967,0,0
189,1274988953,Ravshanova_1409,5833169967,0,1
190,7751480922,,7819002221,0,1
191,7924076673,,2121624657,0,1
192,5672691180,Usernamenonamel,2121624657,0,1
193,2146208449,,7819002221,0,1
194,6777712967,gulyorayusupova,699983377,0,0
195,2127008576,asilbek234,1096274121,0,1
196,5772136810,,1930220471,0,1
197,1669928532,Shahzoda_17_07_22,699983377,0,1
198,5575065797,,7061238703,0,0
199,6890646178,,7061238703,0,0
200,6589733899,,1041188394,0,0
201,5643719610,CylneX_A,7819002221,0,1
202,1863230917,,5833169967,0,0
203,5090585145,,5833169967,0,0
204,2019387998,SHOXRUXBEKISABEKOV,699983377,0,1
205,5609314135,,699983377,0,1
206,7803928936,,699983377,0,0
207,506251902,,5833169967,0,0
208,5640222925,,699983377,0,1
209,6181346860,,699983377,0,1
210,7905211990,Me052526,699983377,0,1
211,966138547,,1041188394,0,1
212,7864733554,,699983377,0,0
213,8288707834,,7819002221,0,1
214,551071935,,699983377,0,1
215,5701295118,nobiIitas,699983377,0,1
216,7321673474,Quvonch_0069,5833169967,0,1
217,6084338355,Isko1623,1292243987,0,1
218,7599763080,,5833169967,0,0
219,8369443283,,6990161704,0,1
220,8348515982,,6990161704,0,0
221,752387193,DildoraRavshanbekova99,5833169967,0,0
222,1979552852,,5833169967,0,0
223,7370161991,,1292243987,0,0
224,222395812,,5833169967,0,1
225,404667299,Muslima_Baxtiyorovna,699983377,0,0
226,1194287980,,5833169967,0,0
227,261589053,Beklarga_Beklardan_Salom,1930220471,0,0
228,1861141719,,5833169967,0,0
229,2030593690,maruf_toshmurotov,2121624657,0,0
230,418640111,,5833169967,0,0
231,5296554813,MGM960024,5833169967,0,0
232,1213884050,HayotXadichaAbdulloh,699983377,0,1
233,613678975,,5833169967,0,0
234,5963190653,Armonim_bor,1930220471,0,0
235,926075071,,699983377,0,0
236,913103118,,5833169967,0,1
237,695746976,,5833169967,0,0
238,716161542,mobib5028,5833169967,0,0
239,695992236,,5833169967,0,0
240,250778298,Mohinigor2014,5833169967,0,0
241,6413152667,,5833169967,0,0
242,876427402,,5833169967,4,1
243,875500373,,5833169967,0,0
244,1673236691,kvllax,7582414336,0,1
245,1332605796,ilhom7481,5833169967,0,0
246,5519530363,,,0,0
248,6357719634,,876427402,0,0
249,8436483768,DUNYOYIMABDULLOHIM0924,876427402,0,0
250,1255562439,A0110_1993,5833169967,0,0
253,2043817955,Magistr_ngtu,5833169967,0,0
254,765210362,,699983377,0,0
256,235673398,Dadaxon9393,5833169967,0,0
257,1792746475,CHORIYEV_ABDULAZIZ_FIZIK,876427402,0,1
258,1434109557,,876427402,0,0
260,1178639208,,5833169967,0,0
261,5398948463,M_K_FO,876427402,0,0
262,5895126715,MZAYNIDDIN1992,5833169967,0,0
263,8048439397,,876427402,0,0
264,5202332674,,7061238703,0,0
265,967323102,,5833169967,0,0
267,5464671325,,704041048,0,0
268,1162469888,,5833169967,0,0
269,1150013286,Gulnikhol2023,5833169967,0,0
270,1437257271,zarifaislom,876427402,0,0
271,6759062034,,704041048,0,0
272,6382393435,AXSEM,1292243987,0,0
273,6179318029,,5833169967,0,0
274,6657478914,Aristokratkaa_05,876427402,0,1
275,500112719,,5833169967,0,0
276,1818134133,Gulhayo_093,5833169967,0,0
277,1312315353,,5833169967,0,0
278,660946754,Nodira_Buranova,5833169967,0,0
279,685014375,,5833169967,0,1
280,6615706849,Lee_youngR,5833169967,4,0
281,6407372383,,6615706849,0,1
282,503924592,shermatovashoira1984,6615706849,0,1
283,7396525906,,5833169967,10,0
284,5237278337,Mirziyobek0,5833169967,0,1
285,1315905897,,5296554813,0,0
286,7544001473,hasanboy2809,7396525906,0,1
287,5416071958,Pima_polatbek,5833169967,0,0
288,6094499812,,7061238703,0,1
289,8166365115,parol17_8,7396525906,0,1
290,5612959332,,876427402,0,0
291,1276495478,,5833169967,0,1
292,5431356850,viper1on,7396525906,0,1
293,430413989,,5738569706,0,0
294,5116238471,Bonufizik,5833169967,2,0
295,7205691161,javlonsh2705,5833169967,0,0
296,5314693378,,876427402,0,1
297,1320341785,dilshodbeks_1st,1930220471,0,0
